id_municipio,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
5300108,A001,Brasilia,2000-05-07,-15.78944444,-47.92583332,1160.96
5300108,A042,Brazlandia,2017-07-19,-15.59972221,-48.1311111,1143
5300108,A045,Aguas Emendadas,2008-10-03,-15.596491,-47.625801,1030.36
5300108,A046,Gama (Ponte Alta),2014-10-01,-15.93527777,-48.13749999,990
5300108,A047,Paranoa (Coopa-Df),2017-02-07,-16.012222,-47.557417,1043
5208707,A002,Goiania,2001-05-29,-16.642841,-49.220222,727.3
5213806,A003,Morrinhos,2001-05-25,-17.745066,-49.101698,751.09
5218003,A005,Porangatu,2001-06-04,-13.30944444,-49.11749999,365
5220405,A011,Sao Simao,2006-07-15,-18.969142,-50.633449,492.45
5212501,A012,Luziania,2006-10-21,-16.26055555,-47.96694443,1000.82
5201702,A013,Aragarcas,2007-07-13,-15.90277777,-52.24527777,327.35
5208905,A014,Goias,2007-07-18,-15.93972221,-50.14138888,512.86
5210901,A015,Itapaci,2007-02-03,-14.97972221,-49.53999999,551.16
5211909,A016,Jatai,2007-05-23,-17.923622,-51.717467,670.08
5218300,A017,Posse,2007-04-18,-14.08916666,-46.36638888,830
5208608,A022,Goianesia,2007-06-02,-15.22027777,-48.98999999,667.01
5204409,A023,Caiaponia,2007-05-21,-16.96694443,-51.81749999,740.1
5200605,A024,Alto Paraiso De Goias,2007-06-04,-14.13305554,-47.52333332,1264.7
5218805,A025,Rio Verde,2007-05-17,-17.78527777,-50.965,780.11
5213103,A026,Mineiros,2007-11-24,-17.45472222,-52.60111111,862
5216403,A027,Parauna,2008-03-29,-16.962536,-50.42545,678.74
5210208,A028,Ipora,2013-06-24,-16.42305554,-51.14888888,610.41
5207402,A029,Edeia,2017-08-26,-17.33694444,-49.91472222,608
5220207,A031,Sao Miguel Do Araguaia,2017-06-29,-12.82055554,-50.33583333,210
5213509,A032,Monte Alegre De Goias,2007-06-07,-13.253521,-46.890326,551.33
5217401,A033,Pires Do Rio,2007-10-12,-17.30416666,-48.28416666,757.27
5205109,A034,Catalao,2008-01-31,-18.154779,-47.927614,900.72
5211503,A035,Itumbiara,2007-11-01,-18.409761,-49.192061,491.17
5206206,A036,Cristalina,2007-12-14,-16.78499999,-47.61305555,1211.08
5220603,A037,Silvania,2010-10-08,-16.67972221,-48.61805554,952
5206206,A056,Cristalina (Fazenda Santa Monica),2018-01-25,-16.39944444,-47.62583332,932
5002704,A702,Campo Grande,2001-09-10,-20.447195,-54.722615,528.47
5006606,A703,Ponta Pora,2001-09-07,-22.5525,-55.71638888,668
5008305,A704,Tres Lagoas,2001-09-03,-20.78333333,-51.71222222,328.94
5004700,A709,Ivinhema,2003-02-08,-22.30055555,-53.82277777,377.36
5006309,A710,Paranaiba,2006-11-10,-19.69555555,-51.18166666,408.06
5003207,A717,Nhumirim,2006-08-02,-18.9886111,-56.62277777,102.26
5001102,A719,Aquidauana,2006-11-01,-20.47555554,-55.78388888,151.35
5003306,A720,Coxim,2006-11-06,-18.51222222,-54.7361111,251.48
5004502,A721,Dourados,2006-10-18,-22.19388888,-54.91138888,463.3
5002159,A722,Miranda,2006-11-02,-20.39555555,-56.43166666,132.49
5006903,A723,Porto Murtinho,2006-10-24,-21.70583333,-57.88666666,78.56
5003207,A724,Corumba,2006-10-26,-18.99667,-57.6375,111.73
5002951,A730,Chapadao Do Sul,2006-12-20,-18.80222222,-52.6025,820.82
5005400,A731,Maracaju,2006-12-15,-21.60916666,-55.17749999,388.94
5007695,A732,Sao Gabriel Do Oeste,2006-12-18,-19.42027777,-54.55305555,646
5002902,A742,Cassilandia,2008-03-08,-19.12249999,-51.72083332,494.72
5007208,A743,Rio Brilhante,2008-06-26,-21.774944,-54.528108,324.31
5005152,A749,Juti,2008-06-16,-22.85722222,-54.60555555,375.18
5000609,A750,Amambai,2008-06-11,-23.0025,-55.32944443,433.59
5007703,A751,Sete Quedas,2008-06-03,-23.96694443,-55.02416666,398.4
5004601,A752,Itaquirai,2008-05-28,-23.449501,-54.181858,337.82
5007901,A754,Sidrolandia,2008-09-29,-20.98166666,-54.97194443,471.43
5000203,A756,Agua Clara,2010-08-14,-20.44444444,-52.87583332,323.63
5002100,A757,Bela Vista,2011-08-09,-22.10166666,-56.54083333,206.09
5005004,A758,Jardim,2011-08-04,-21.4786111,-56.13777777,252.47
5001904,A759,Bataguassu,2013-03-21,-21.75,-52.47138888,392.13
5003256,A760,Costa Rica,2012-12-04,-18.49277777,-53.17138888,727.34
5007935,A761,Sonora,2012-11-30,-17.63527777,-54.76055555,495.25
5000856,S701,Angelica,2018-04-09,-22.148083,-53.763736,347
5001243,S702,Aral Moreira,2018-04-13,-22.955028,-55.626,605
5001508,S703,Bandeirantes,2018-01-29,-19.94555555,-54.3686111,624
5002209,S704,Bonito,2018-08-06,-21.24666666,-56.45055555,329
5002308,S705,Brasilandia,2018-04-06,-21.29833333,-52.06888888,345
5002407,S706,Caarapo,2018-03-03,-22.657056,-54.819306,456
5002605,S707,Camapua,2018-02-19,-19.58749999,-54.02999999,540
5003801,S708,Fatima Do Sul,2018-02-28,-22.30861111,-54.32583332,340
5004304,S709,Iguatemi,2018-02-19,-23.64444444,-54.57027777,319
5004502,S710,Itapora,2018-02-26,-22.092833,-54.798833,360
5005251,S711,Laguna Carapa,2018-04-12,-22.575389,-55.160333,499
5006002,S712,Nova Alvorada Do Sul,2018-02-23,-21.450972,-54.341972,5
5006200,S713,Nova Andradina,2018-04-09,-22.0786111,-53.46583333,372
5006408,S714,Pedro Gomes,2018-02-02,-18.07277777,-54.54888888,251
5007109,S715,Ribas Do Rio Pardo,2018-01-18,-20.466694,-53.763028,442
5007554,S716,Santa Rita Do Pardo,2018-02-19,-21.305889,-52.820375,383
5007802,S717,Selviria,2018-04-05,-20.35138888,-51.43027777,374
5103403,A901,Cuiaba,2002-12-08,-15.559295,-56.062951,241.56
5107958,A902,Tangara Da Serra,2002-12-11,-14.65,-57.43166666,440.01
5107305,A903,S.j. Do Rio Claro,2003-02-25,-13.45388888,-56.67722221,339.59
5107925,A904,Sorriso,2002-12-16,-12.555,-55.72277777,379.31
5102637,A905,Campo Novo Dos Parecis,2002-12-13,-13.78583333,-57.8386111,525.41
5104104,A906,Guaranta Do Norte,2002-12-20,-9.9525,-54.89777777,283.58
5107602,A907,Rondonopolis,2003-11-17,-16.4625,-54.58027777,289.88
5100201,A908,Agua Boa,2006-12-16,-14.01638888,-52.21166666,440
5100300,A909,Alto Araguaia,2011-09-22,-17.33944444,-53.22444443,753.28
5100805,A910,Apiacas,2006-10-24,-9.56333333,-57.3936111,217.75
5107875,A911,Sapezal,2017-10-20,-13.30388888,-58.76333333,105
5102678,A912,Campo Verde,2006-11-21,-15.53138888,-55.13555555,748.27
5103304,A913,Comodoro,2006-11-28,-13.70805555,-59.7625,576.87
5105101,A914,Juara,2006-11-02,-11.28027777,-57.52666666,263.43
5106307,A915,Paranatinga,2006-12-19,-14.42138888,-54.0361111,476.91
5107909,A917,Sinop,2006-10-29,-11.98222221,-55.56611111,366.57
5103379,A919,Cotriguacu,2007-05-28,-9.90638888,-58.57222221,265
5105150,A920,Juina,2006-11-24,-11.375126,-58.774785,365.39
5107859,A921,Sao Felix  Do Araguaia,2007-10-19,-11.61888888,-50.72777777,201.37
5105507,A922,Vila Bela Da Santissima Trindade,2006-12-01,-15.06277777,-59.87305554,213
5107040,A923,Primavera Do Leste,2017-10-26,-15.57999999,-54.3811111,680
5100250,A924,Alta Floresta,2007-05-23,-10.07722221,-56.17916666,291.85
5102793,A926,Carlinda,2008-04-09,-9.97055554,-55.82749999,293.71
5101902,A927,Brasnorte (Novo Mundo),2008-02-29,-12.52194443,-58.23138888,426.2
5108907,A928,Nova Maringa,2008-04-16,-13.0386111,-57.09222221,334.36
5106240,A929,Nova Ubirata,2008-04-13,-13.41111111,-54.75222222,466.48
5103858,A930,Gaucha Do Norte,2008-06-04,-13.18472221,-53.2575,375.87
5107792,A931,Santo Antonio Do Leste,2008-05-30,-14.92777777,-53.8836111,664.21
5104203,A932,Guiratinga,2008-01-24,-16.34166666,-53.76611111,525.43
5104609,A933,Itiquira,2008-08-14,-17.17499999,-54.50166666,593.12
5100607,A934,Alto Taquari,2008-01-29,-17.8411111,-53.28944444,862.42
5106851,A935,Porto Estrela,2008-05-30,-15.32472221,-57.22583332,147.75
5107750,A936,Salto Do Ceu,2008-01-24,-15.12472221,-58.12722221,300.83
5106752,A937,Pontes E Lacerda,2008-01-30,-15.23444444,-59.3461111,272.53
5107354,A942,Sao Jose Do Xingu,2019-02-19,-10.48416666,-52.37249999,300
5107883,A943,Serra Nova Dourada,2019-03-29,-11.98777777,-51.4261111,441
5107701,A944,Rosario Oeste,2019-05-30,-14.82888888,-56.44194444,195
2704302,A303,Maceio,2003-02-25,-9.55111111,-35.77027777,84.12
2706406,A323,Pao De Acucar,2007-07-14,-9.74916666,-37.43083332,20.83
2706307,A327,Palmeira Dos Indios,2007-07-11,-9.42027777,-36.62027777,278.01
2700300,A353,Arapiraca,2008-04-27,-9.80444444,-36.61916666,236.84
2702306,A355,Coruripe,2008-09-06,-10.1286111,-36.28638888,82.39
2708501,A356,Sao Luis Do Quitunde,2008-09-08,-9.28749999,-35.56583333,13.69
2707107,A371,Piranhas,2017-09-20,-9.62222221,-37.76722221,187
2927408,A401,Salvador,2000-05-13,-13.005515,-38.50576,47.56
2903201,A402,Barreiras,2001-12-20,-12.12472221,-45.02694443,474.17
2919553,A404,Luiz Eduardo Magalhaes,2002-04-18,-12.1525,-45.82972221,760.68
2906907,A405,Caravelas,2002-12-20,-17.73944444,-39.25861111,6.05
2909802,A406,Cruz Das Almas,2003-01-19,-12.67555554,-39.08944444,219.76
2917607,A407,Itirucu,2003-02-09,-13.527828,-40.119752,757.42
2914703,A408,Itaberaba,2003-01-29,-12.52416666,-40.29972221,250.11
2913606,A410,Ilheus,2003-01-25,-14.658803,-39.181438,80.21
2919603,A412,Macajuba,2003-02-03,-12.13166666,-40.35416666,338.85
2910800,A413,Feira De Santana,2007-05-26,-12.1961111,-38.96749999,229.64
2933307,A414,Vitoria Da Conquista,2007-06-01,-14.88638888,-40.80138888,879.38
2928406,A415,Santa Rita De Cassia,2007-05-28,-11.00277777,-44.52499999,450.01
2909307,A416,Correntina,2007-11-09,-13.33249999,-44.61749999,551.71
2903904,A418,Bom Jesus Da Lapa,2007-05-18,-13.25111111,-43.40527777,447.75
2906907,A422,Abrolhos,2008-07-21,-17.96305555,-38.70333333,20.93
2926004,A423,Remanso,2008-03-26,-9.62555554,-42.07722221,397.4
2914604,A424,Irece,2008-03-31,-11.328998,-41.864504,768.42
2919306,A425,Lencois,2008-04-05,-12.557854,-41.388808,438.09
2911709,A426,Guanambi,2008-04-24,-14.20805555,-42.74972221,552.23
2925303,A427,Porto Seguro,2008-07-10,-16.38888888,-39.18249999,86.36
2930105,A428,Senhor Do Bonfim,2008-03-27,-10.44305555,-40.14833333,532.09
2902708,A429,Barra,2008-05-12,-11.08472221,-43.13888888,407.5
2924306,A430,Piata,2008-05-03,-13.155681,-41.774125,1283.95
2908606,A431,Conde,2008-04-07,-12.03583333,-37.68388888,31.9
2904753,A432,Buritirama,2008-05-15,-10.72305554,-43.65111111,506.06
2904605,A433,Brumado,2008-04-28,-14.18194443,-41.67222221,473.37
2901007,A434,Amargosa,2008-07-11,-13.009468,-39.616881,397.8
2932002,A435,Uaua,2008-05-20,-9.8336111,-39.49555555,450.6
2925808,A436,Queimadas,2008-05-23,-10.98472221,-39.61694443,310.11
2932507,A437,Una,2008-06-25,-15.28027777,-39.09138888,74.08
2920700,A438,Marau,2008-06-22,-13.90694444,-38.97222221,6.24
2913200,A439,Ibotirama,2008-04-28,-12.19305555,-43.21333333,425.12
2917508,A440,Jacobina,2008-05-01,-11.205,-40.465,440.78
2930501,A441,Serrinha,2008-05-09,-11.66472222,-39.02305554,337.79
2910701,A442,Euclides Da Cunha,2008-03-31,-10.537233,-38.996605,431.96
2932457,A443,Delfino,2008-07-15,-10.455,-41.20694444,646.24
2932903,A444,Valenca,2009-06-29,-13.3436111,-39.12666666,93.12
2913903,A445,Ipiau,2009-06-30,-14.17138888,-39.69249999,132.11
2916401,A446,Itapetinga,2009-06-25,-15.24472221,-40.22944443,271.48
2927705,A447,Belmonte,2009-07-02,-16.08805555,-39.21527777,89.67
2909901,A448,Curaca,2015-08-20,-9.00138888,-39.9125,370
2924405,A449,Pilao Arcado,2016-05-28,-10.01833332,-42.50027777,385
2918100,A450,Jeremoabo,2015-08-13,-10.08083332,-38.34583333,261
2911105,A452,Formoso Do Rio Preto,2016-06-02,-11.05222222,-45.20083333,488
2915601,A455,Itamaraju,2016-05-28,-17.00694444,-39.55805555,110
2927408,A456,Salvador (Radio Farol),2018-03-10,-12.80833333,-38.49583333,31
2926509,A458,Ribeira Do Amparo,2018-09-20,-11.05861111,-38.44416666,182
2304400,A305,Fortaleza,2003-02-18,-3.815701,-38.537792,29.55
2312908,A306,Sobral,2003-02-12,-3.74805555,-40.34583333,92.07
2305100,A314,Guaramiranga,2007-05-26,-4.26138888,-38.9311111,865.53
2301901,A315,Barbalha,2007-05-31,-7.30083333,-39.2711111,409.41
2305506,A319,Iguatu,2007-05-30,-6.39638888,-39.26888888,221.56
2313302,A324,Taua,2007-07-12,-6.01749999,-40.28138888,410.87
2311405,A325,Quixeramobim,2007-07-09,-5.17444443,-39.28944444,221.04
2308708,A332,Morada Nova,2007-08-24,-5.13666666,-38.35666666,45.03
2307007,A339,Jaguaruana,2007-11-10,-4.78694444,-37.76666666,49
2304103,A342,Crateus,2008-12-11,-5.18666666,-40.67222221,298.19
2302701,A347,Campos Sales,2008-03-07,-7.07777777,-40.36277777,577.95
2306900,A358,Jaguaribe,2008-09-10,-5.90555555,-38.62777777,149.31
2306405,A359,Itapipoca,2008-09-05,-3.48416666,-39.5886111,104.49
2307809,A360,Acarau,2009-04-22,-3.1211111,-40.08722221,67.15
2313401,A368,Tiangua,2018-03-15,-3.73222221,-41.01194444,756
2311306,A369,Quixada,2018-03-20,-4.97888888,-39.05722222,193
2111300,A203,Sao Luis,2003-01-29,-2.52666666,-44.21361111,54.8
2101400,A204,Balsas,2007-10-26,-7.45555555,-46.02749999,271.03
2102804,A205,Carolina,2007-12-04,-7.337269,-47.459839,182.88
2103208,A206,Chapadinha,2008-09-17,-3.74277777,-43.35222222,104
2104800,A207,Grajau,2008-09-10,-5.81611111,-46.16222222,232.29
2105005,A217,Farol De Santana,2008-11-28,-2.27083332,-43.62416666,9.87
2101707,A218,Preguicas,2008-11-22,-2.59222221,-42.7075,4.62
2112407,A219,Turiacu,2008-06-10,-1.66111111,-45.37249999,35.86
2101202,A220,Bacabal,2008-07-09,-4.24305555,-44.79499999,22.33
2101608,A221,Barra Do Corda,2008-03-06,-5.50666666,-45.23694444,154.19
2103505,A222,Colinas,2008-06-03,-6.03305554,-44.23333333,175.37
2100501,A223,Alto Parnaiba,2008-06-03,-9.10833333,-45.93194443,283.69
2104057,A224,Estreito,2008-02-27,-6.65333333,-47.41833332,182.96
2105302,A225,Imperatriz,2008-03-01,-5.555723,-47.459794,117.96
2103000,A237,Caxias,2008-07-13,-4.82138888,-43.3436111,84.85
2102325,A238,Buriticupu,2008-09-11,-4.32055554,-46.44944444,174.91
2114007,A255,Ze Doca,2019-09-18,-3.26916666,-45.65111111,45.5
2501104,A310,Areia,2004-11-16,-6.975451,-35.718128,573.45
2504009,A313,Campina Grande,2006-12-22,-7.225574,-35.904831,546.17
2507507,A320,Joao Pessoa,2007-07-21,-7.16527777,-34.81555555,33.5
2510808,A321,Patos,2007-07-21,-7.07972221,-37.27277777,263.66
2516201,A333,Sao Goncalo,2007-11-06,-6.835777,-38.311583,237.04
2509701,A334,Monteiro,2007-08-22,-7.89444444,-37.12472221,606.39
2503100,A348,Cabaceiras,2008-02-28,-7.48333333,-36.28638888,391.96
2508901,A352,Camaratuba,2008-05-04,-6.56194444,-35.13527777,135.51
2507002,A373,Itaporanga,2017-11-03,-7.31833332,-38.14083333,292
2611606,A301,Recife,2004-12-22,-8.05916666,-34.95916666,11.3
2611101,A307,Petrolina,2003-02-21,-9.388323,-40.523262,372.72
2601201,A309,Arco Verde,2004-11-20,-8.4336111,-37.05555555,683.95
2606002,A322,Garanhuns,2007-07-08,-8.91095,-36.493381,827.78
2614501,A328,Surubim,2008-03-09,-7.83972221,-35.80111111,421.44
2603009,A329,Cabrobo,2007-09-04,-8.504,-39.31528,342.74
2604106,A341,Caruaru,2007-11-21,-8.36527777,-36.02833332,852
2606606,A349,Ibimirim,2008-10-14,-8.50944444,-37.71166666,434.23
2613909,A350,Serra Talhada,2008-07-09,-7.954277,-38.295082,499.02
2605707,A351,Floresta,2008-09-15,-8.59888888,-38.58416666,327.42
2610004,A357,Palmares,2008-09-04,-8.66666666,-35.56805554,164.01
2609907,A366,Ouricuri,2010-08-11,-7.88583333,-40.10277777,457.85
2612208,A370,Salgueiro,2017-09-15,-8.05805555,-39.0961111,447
2207702,A308,Parnaiba,2003-02-06,-3.08666666,-41.78305554,52.11
2203909,A311,Floriano,2004-11-18,-6.76138888,-43.00333333,126.39
2211001,A312,Teresina,2004-11-24,-5.03472221,-42.80138888,75.23
2201903,A326,Bom Jesus Do Piaui,2007-07-17,-9.08333333,-44.32638888,296
2207801,A330,Paulistana,2007-08-31,-8.132288,-41.142945,376
2210003,A331,Sao Joao Do Piaui,2007-08-26,-8.36444444,-42.2525,231
2208403,A335,Piripiri,2007-08-31,-4.276047,-41.794568,157.89
2200459,A336,Alvorada Do Gurgueia,2007-11-17,-8.44166666,-43.86555555,261.26
2202505,A337,Caracol,2007-11-10,-9.28583333,-43.32444443,515.3
2208007,A343,Picos,2008-12-12,-7.0711111,-41.40416666,232.91
2210607,A345,Sao Raimundo Nonato,2008-02-27,-9.03333333,-42.70111111,383.13
2211209,A346,Urucui,2008-03-06,-7.44138888,-44.34499999,398.83
2207009,A354,Oeiras,2008-07-22,-6.97416666,-42.14694444,154.03
2202604,A361,Castelo Do Piaui,2009-04-20,-5.34916666,-41.51222222,268.75
2211308,A363,Valenca Do Piaui,2009-04-18,-6.39916666,-41.73999999,313.39
2204402,A364,Gilbues,2009-05-16,-9.87527777,-45.34583333,425.1
2202307,A365,Canto Do Buriti,2010-06-12,-8.117939,-42.975721,312.07
2202901,A374,Corrente,2018-03-28,-10.42916666,-45.17305554,452
2201150,A375,Baixa Grande Do Ribeiro,2018-03-23,-8.333531,-45.094625,519
2202208,A376,Campo Maior,2018-11-23,-4.86416666,-42.14555555,125
2200608,A377,Angical Do Piaui,2019-11-14,-6.08944444,-42.72749999,183
2408102,A304,Natal,2003-02-24,-5.83722221,-35.20805555,47.46
2402006,A316,Caico,2007-01-07,-6.46749999,-37.08499999,171.26
2407203,A317,Macau,2007-01-06,-5.15111111,-36.57305554,17.37
2411056,A318,Mossoro,2007-05-22,-4.90416666,-37.36694443,29.44
2401008,A340,Apodi,2007-11-14,-5.62666666,-37.815,131.41
2414407,A344,Calcanhar,2008-05-08,-5.16,-35.48749999,9.82
2411205,A367,Santa Cruz,2010-08-17,-6.22805554,-36.02666666,227.49
2404705,A372,Ipanguacu,2017-11-08,-5.53499999,-36.87222221,19
2800308,A409,Aracaju,2003-02-12,-10.9525,-37.05444444,3.72
2803005,A417,Itabaianinha,2007-05-23,-11.2725,-37.795,204.8
2805505,A419,Poco Verde,2008-04-03,-10.73805555,-38.10833333,367.01
2801405,A420,Carira,2008-03-28,-10.39972221,-37.74749999,289.92
2800704,A421,Brejo Grande,2008-07-17,-10.47388888,-36.48194443,6.11
2802908,A451,Itabaiana,2017-04-24,-10.67166666,-37.47138888,213
2804508,A453,Nossa Senhora Da Gloria,2017-03-24,-10.20777777,-37.43194443,271
1200344,A102,Parque Estadual Chandless,2008-08-05,-9.35833333,-69.92638888,184.51
1200401,A104,Rio Branco,2008-07-11,-9.95777777,-68.16527777,223.52
1200203,A108,Cruzeiro Do Sul,2015-05-14,-7.61083333,-72.68138888,220
1200393,A136,Porto Walter,2009-10-29,-8.26722221,-72.74777777,205.35
1200351,A137,Marechal Thaumaturgo,2009-10-27,-8.95,-72.78666666,220.98
1200302,A138,Feijo,2009-09-24,-8.142654,-70.343594,157.17
1200252,A140,Epitaciolandia,2009-09-25,-11.02388888,-68.73527777,224.5
1302603,A101,Manaus,2000-05-09,-3.10361111,-60.01555555,48.79
1301407,A109,Eirunepe,2012-08-31,-6.65027777,-69.8686111,121.54
1300706,A110,Boca Do Acre,2008-07-15,-8.77666666,-67.33249999,111.98
1302405,A111,Labrea,2008-07-27,-7.26055555,-64.7886111,61.91
1301704,A112,Humaita,2008-04-25,-7.5525,-63.07138888,53.56
1300144,A113,Apui,2008-07-19,-7.20555555,-59.8886111,156.97
1301209,A117,Coari,2008-04-12,-4.09749999,-63.14527777,33.84
1302504,A119,Manacapuru,2008-04-10,-3.29472221,-60.62833332,36.57
1300300,A120,Autazes,2008-04-17,-3.58333333,-59.12944443,19.9
1301902,A121,Itacoatiara,2008-04-17,-3.13333333,-58.48277777,41.54
1302900,A122,Maues,2008-04-22,-3.39888888,-57.67388888,25.49
1303403,A123,Parintins,2008-04-11,-2.63916666,-56.75611111,18.72
1304302,A124,Urucara,2008-04-17,-2.53472221,-57.75805555,18.49
1303569,A125,Rio Urubu,2008-06-26,-2.6336111,-59.60055555,112.84
1303536,A126,Presidente Figueiredo,2008-04-19,-2.05666666,-60.02583332,60.99
1300409,A128,Barcelos,2008-04-19,-0.98722221,-62.92416666,29.88
1302702,A133,Manicore,2011-12-12,-5.7886111,-61.28833333,40.64
1303809,A134,S. G. Da Cachoeira,2011-08-31,-0.125207,-67.061246,79.67
1300144,A144,Novo Aripuana,2019-07-18,-8.0911111,-60.38055554,45
1600501,A242,Oiapoque,2008-09-11,3.81361111,-51.8625,15.14
1600535,A244,Porto Grande,2008-09-17,0.69416666,-51.40388888,84.8
1600303,A249,Macapa,2013-12-12,0.03499999,-51.08888888,16.62
1600253,A251,Itaubal,2017-08-24,0.56777777,-50.8236111,21
1501402,A201,Belem,2003-01-20,-1.411228,-48.439512,21.17
1502400,A202,Castanhal,2003-01-24,-1.30083333,-47.94805555,47.13
1504455,A209,Medicilandia,2008-02-17,-3.51083333,-52.96333333,251.68
1505486,A210,Pacaja,2008-02-27,-3.8436111,-50.63805555,89.02
1505650,A211,Placas,2008-02-14,-3.86416666,-54.21638888,100.45
1505502,A212,Paragominas,2007-10-18,-2.99027777,-47.40777777,113
1508001,A213,Tome Acu,2007-10-14,-2.59249999,-48.36055555,42.95
1506187,A214,Rondon Do Para,2008-04-17,-4.82749999,-48.1736111,203
1506203,A215,Salinopolis,2008-06-14,-0.61888888,-47.35666666,23.18
1507300,A216,Sao Felix Do Xingu,2016-11-15,-6.639622,-51.956966,211
1501709,A226,Braganca,2008-03-11,-1.04722221,-46.78583333,41
1507904,A227,Soure,2008-04-27,-0.72777777,-48.51583333,12.54
1501808,A228,Breves,2017-10-20,-1.68027777,-50.47805554,11
1508100,A229,Tucurui,2008-03-01,-3.82277777,-49.67499999,137.94
1505536,A230,Serra Dos Carajas,2008-09-03,-6.07749999,-50.14222221,707
1503606,A231,Itaituba,2008-02-17,-4.27694443,-55.99305555,24.46
1505106,A232,Obidos,2012-07-05,-1.88083332,-55.51972221,89.64
1506708,A233,Santana Do Araguaia,2008-05-30,-9.3386111,-50.35027777,176.75
